country,date,cases,new cases,pop,School closure,Border closure,Event ban,Gathering ban,Venue closure,Lockdown,Work ban
Netherlands,2020-04-01,13696,1092,17.2,1,0,1,1,1,0,0
Norway,2020-04-01,4863,284,5.3,1,1,1,0,1,0,0
Portugal,2020-04-01,8251,783,10.3,1,0,1,1,1,1,0
Sweden,2020-04-01,4947,621,10.2,0,0,1,1,0,0,0
United States,2020-04-01,213372,30390,327.2,1,1,1,1,1,1,0
Australia,2020-04-02,5116,214,25,0,1,1,1,1,0,0
Austria,2020-04-02,11129,395,8.8,1,1,1,1,1,1,0
Belgium,2020-04-02,15348,1422,11.4,1,1,1,1,1,1,0
Canada,2020-04-02,11284,1153,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-02,18827,779,8.5,1,1,1,1,1,0,0
Germany,2020-04-02,84794,6365,82.9,1,0,1,1,1,0,0
Denmark,2020-04-02,3573,373,5.8,1,1,1,1,1,0,0
Spain,2020-04-02,112065,7134,46.7,1,1,1,1,1,1,1
Finland,2020-04-02,1518,97,5.5,1,1,1,1,1,0,0
France,2020-04-02,59929,5273,67,1,1,1,1,1,1,1
United Kingdom,2020-04-02,34173,4516,66.5,1,0,1,1,1,1,0
Greece,2020-04-02,1544,69,10.7,1,0,1,1,1,1,0
Ireland,2020-04-02,3849,424,4.9,1,0,1,1,1,1,1
Italy,2020-04-02,115242,4585,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-02,2487,125,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-02,14788,1033,17.2,1,0,1,1,1,0,0
Norway,2020-04-02,5147,223,5.3,1,1,1,0,1,0,0
Portugal,2020-04-02,9034,852,10.3,1,0,1,1,1,1,0
Sweden,2020-04-02,5568,563,10.2,0,0,1,1,0,0,0
United States,2020-04-02,243762,31824,327.2,1,1,1,1,1,1,1
Australia,2020-04-03,5330,220,25,0,1,1,1,1,0,0
Austria,2020-04-03,11524,257,8.8,1,1,1,1,1,1,0
Belgium,2020-04-03,16770,1661,11.4,1,1,1,1,1,1,0
Canada,2020-04-03,12437,541,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-03,19606,899,8.5,1,1,1,1,1,0,0
Germany,2020-04-03,91159,4933,82.9,1,0,1,1,1,0,0
Denmark,2020-04-03,3946,323,5.8,1,1,1,1,1,0,0
Spain,2020-04-03,119199,6969,46.7,1,1,1,1,1,1,1
Finland,2020-04-03,1615,267,5.5,1,1,1,1,1,0,0
France,2020-04-03,65202,4298,67,1,1,1,1,1,1,1
United Kingdom,2020-04-03,38689,3788,66.5,1,0,1,1,1,1,0
Greece,2020-04-03,1613,60,10.7,1,0,1,1,1,1,0
Ireland,2020-04-03,4273,331,4.9,1,0,1,1,1,1,1
Italy,2020-04-03,119827,4805,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-03,2612,117,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-03,15821,906,17.2,1,0,1,1,1,0,0
Norway,2020-04-03,5370,180,5.3,1,1,1,0,1,0,0
Portugal,2020-04-03,9886,638,10.3,1,0,1,1,1,1,0
Sweden,2020-04-03,6131,312,10.2,0,0,1,1,0,0,0
United States,2020-04-03,275586,33267,327.2,1,1,1,1,1,1,1
Australia,2020-04-04,5550,137,25,0,1,1,1,1,0,0
Austria,2020-04-04,11781,270,8.8,1,1,1,1,1,1,0
Belgium,2020-04-04,18431,1260,11.4,1,1,1,1,1,1,0
Canada,2020-04-04,12978,2778,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-04,20505,595,8.5,1,1,1,1,1,0,0
Germany,2020-04-04,96092,4031,82.9,1,0,1,1,1,0,0
Denmark,2020-04-04,4269,292,5.8,1,1,1,1,1,0,0
Spain,2020-04-04,126168,5478,46.7,1,1,1,1,1,1,1
Finland,2020-04-04,1882,45,5.5,1,1,1,1,1,0,0
France,2020-04-04,69500,1912,67,1,1,1,1,1,1,1
United Kingdom,2020-04-04,42477,5959,66.5,1,0,1,1,1,1,0
Greece,2020-04-04,1673,62,10.7,1,0,1,1,1,1,0
Ireland,2020-04-04,4604,390,4.9,1,0,1,1,1,1,1
Italy,2020-04-04,124632,4316,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-04,2729,75,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-04,16727,1226,17.2,1,0,1,1,1,0,0
Norway,2020-04-04,5550,137,5.3,1,1,1,0,1,0,0
Portugal,2020-04-04,10524,754,10.3,1,0,1,1,1,1,0
Sweden,2020-04-04,6443,387,10.2,0,0,1,1,0,0,0
United States,2020-04-04,308853,28219,327.2,1,1,1,1,1,1,1
Australia,2020-04-05,5687,110,25,0,1,1,1,1,0,0
Austria,2020-04-05,12051,246,8.8,1,1,1,1,1,1,0
Belgium,2020-04-05,19691,1123,11.4,1,1,1,1,1,1,0
Canada,2020-04-05,15756,807,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-05,21100,557,8.5,1,1,1,1,1,0,0
Germany,2020-04-05,100123,3251,82.9,1,0,1,1,1,0,0
Denmark,2020-04-05,4561,314,5.8,1,1,1,1,1,0,0
Spain,2020-04-05,131646,5029,46.7,1,1,1,1,1,1,1
Finland,2020-04-05,1927,249,5.5,1,1,1,1,1,0,0
France,2020-04-05,71412,3931,67,1,1,1,1,1,1,1
United Kingdom,2020-04-05,48436,3843,66.5,1,0,1,1,1,1,0
Greece,2020-04-05,1735,20,10.7,1,0,1,1,1,1,0
Ireland,2020-04-05,4994,370,4.9,1,0,1,1,1,1,1
Italy,2020-04-05,128948,3599,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-05,2804,39,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-05,17953,973,17.2,1,0,1,1,1,0,0
Norway,2020-04-05,5687,178,5.3,1,1,1,0,1,0,0
Portugal,2020-04-05,11278,452,10.3,1,0,1,1,1,1,0
Sweden,2020-04-05,6830,376,10.2,0,0,1,1,0,0,0
United States,2020-04-05,337072,29595,327.2,1,1,1,1,1,1,1
Australia,2020-04-06,5797,98,25,0,1,1,1,1,0,0
Austria,2020-04-06,12297,342,8.8,1,1,1,1,1,1,0
Belgium,2020-04-06,20814,1380,11.4,1,1,1,1,1,1,0
Canada,2020-04-06,16563,1309,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-06,21657,596,8.5,1,1,1,1,1,0,0
Germany,2020-04-06,103374,4289,82.9,1,0,1,1,1,0,0
Denmark,2020-04-06,4875,391,5.8,1,1,1,1,1,0,0
Spain,2020-04-06,136675,5267,46.7,1,1,1,1,1,1,1
Finland,2020-04-06,2176,132,5.5,1,1,1,1,1,0,0
France,2020-04-06,75343,3820,67,1,1,1,1,1,1,1
United Kingdom,2020-04-06,52279,3670,66.5,1,0,1,1,1,1,0
Greece,2020-04-06,1755,77,10.7,1,0,1,1,1,1,0
Ireland,2020-04-06,5364,345,4.9,1,0,1,1,1,1,1
Italy,2020-04-06,132547,3039,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-06,2843,127,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-06,18926,783,17.2,1,0,1,1,1,0,0
Norway,2020-04-06,5865,221,5.3,1,1,1,0,1,0,0
Portugal,2020-04-06,11730,712,10.3,1,0,1,1,1,1,0
Sweden,2020-04-06,7206,487,10.2,0,0,1,1,0,0,0
United States,2020-04-06,366667,29556,327.2,1,1,1,1,1,1,1
Australia,2020-04-07,5895,115,25,0,1,1,1,1,0,0
Austria,2020-04-07,12639,303,8.8,1,1,1,1,1,1,0
Belgium,2020-04-07,22194,1209,11.4,1,1,1,1,1,1,0
Canada,2020-04-07,17872,1269,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-07,22253,1027,8.5,1,1,1,1,1,0,0
Germany,2020-04-07,107663,5633,82.9,1,0,1,1,1,0,0
Denmark,2020-04-07,5266,331,5.8,1,1,1,1,1,0,0
Spain,2020-04-07,141942,6278,46.7,1,1,1,1,1,1,1
Finland,2020-04-07,2308,179,5.5,1,1,1,1,1,0,0
France,2020-04-07,79163,3894,67,1,1,1,1,1,1,1
United Kingdom,2020-04-07,55949,5525,66.5,1,0,1,1,1,1,0
Greece,2020-04-07,1832,52,10.7,1,0,1,1,1,1,0
Ireland,2020-04-07,5709,365,4.9,1,0,1,1,1,1,1
Italy,2020-04-07,135586,3836,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-07,2970,64,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-07,19709,973,17.2,1,0,1,1,1,0,0
Norway,2020-04-07,6086,0,5.3,1,1,1,0,1,0,0
Portugal,2020-04-07,12442,699,10.3,1,0,1,1,1,1,0
Sweden,2020-04-07,7693,726,10.2,0,0,1,1,0,0,0
United States,2020-04-07,396223,32829,327.2,1,1,1,1,1,1,1
Australia,2020-04-08,6010,98,25,0,1,1,1,1,0,0
Austria,2020-04-08,12942,302,8.8,1,1,1,1,1,1,0
Belgium,2020-04-08,23403,1580,11.4,1,1,1,1,1,1,0
Canada,2020-04-08,19141,1513,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-08,23280,771,8.5,1,1,1,1,1,0,0
Germany,2020-04-08,113296,4885,82.9,1,0,1,1,1,0,0
Denmark,2020-04-08,5597,233,5.8,1,1,1,1,1,0,0
Spain,2020-04-08,148220,5002,46.7,1,1,1,1,1,1,1
Finland,2020-04-08,2487,118,5.5,1,1,1,1,1,0,0
France,2020-04-08,83057,4309,67,1,1,1,1,1,1,1
United Kingdom,2020-04-08,61474,4398,66.5,1,0,1,1,1,1,0
Greece,2020-04-08,1884,71,10.7,1,0,1,1,1,1,0
Ireland,2020-04-08,6074,500,4.9,1,0,1,1,1,1,1
Italy,2020-04-08,139422,4204,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-08,3034,81,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-08,20682,1221,17.2,1,0,1,1,1,0,0
Norway,2020-04-08,6086,125,5.3,1,1,1,0,1,0,0
Portugal,2020-04-08,13141,815,10.3,1,0,1,1,1,1,0
Sweden,2020-04-08,8419,722,10.2,0,0,1,1,0,0,0
United States,2020-04-08,429052,32385,327.2,1,1,1,1,1,1,1
Australia,2020-04-09,6108,107,25,0,1,1,1,1,0,0
Austria,2020-04-09,13244,311,8.8,1,1,1,1,1,1,0
Belgium,2020-04-09,24983,1684,11.4,1,1,1,1,1,1,0
Canada,2020-04-09,20654,1405,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-09,24051,500,8.5,1,1,1,1,1,0,0
Germany,2020-04-09,118181,3990,82.9,1,0,1,1,1,0,0
Denmark,2020-04-09,5830,184,5.8,1,1,1,1,1,0,0
Spain,2020-04-09,153222,5051,46.7,1,1,1,1,1,1,1
Finland,2020-04-09,2605,164,5.5,1,1,1,1,1,0,0
France,2020-04-09,87366,4372,67,1,1,1,1,1,1,1
United Kingdom,2020-04-09,65872,8733,66.5,1,0,1,1,1,1,0
Greece,2020-04-09,1955,56,10.7,1,0,1,1,1,1,0
Ireland,2020-04-09,6574,1515,4.9,1,0,1,1,1,1,1
Italy,2020-04-09,143626,3951,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-09,3115,108,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-09,21903,1346,17.2,1,0,1,1,1,0,0
Norway,2020-04-09,6211,103,5.3,1,1,1,0,1,0,0
Portugal,2020-04-09,13956,1516,10.3,1,0,1,1,1,1,0
Sweden,2020-04-09,9141,544,10.2,0,0,1,1,0,0,0
United States,2020-04-09,461437,35098,327.2,1,1,1,1,1,1,1
Australia,2020-04-10,6215,88,25,0,1,1,1,1,0,0
Austria,2020-04-10,13555,251,8.8,1,1,1,1,1,1,0
Belgium,2020-04-10,26667,1351,11.4,1,1,1,1,1,1,0
Canada,2020-04-10,22059,1257,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-10,24551,556,8.5,1,1,1,1,1,0,0
Germany,2020-04-10,122171,2737,82.9,1,0,1,1,1,0,0
Denmark,2020-04-10,6014,177,5.8,1,1,1,1,1,0,0
Spain,2020-04-10,158273,4754,46.7,1,1,1,1,1,1,1
Finland,2020-04-10,2769,136,5.5,1,1,1,1,1,0,0
France,2020-04-10,91738,3125,67,1,1,1,1,1,1,1
United Kingdom,2020-04-10,74605,5269,66.5,1,0,1,1,1,1,0
Greece,2020-04-10,2011,70,10.7,1,0,1,1,1,1,0
Ireland,2020-04-10,8089,839,4.9,1,0,1,1,1,1,1
Italy,2020-04-10,147577,4694,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-10,3223,47,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-10,23249,1322,17.2,1,0,1,1,1,0,0
Norway,2020-04-10,6314,95,5.3,1,1,1,0,1,0,0
Portugal,2020-04-10,15472,515,10.3,1,0,1,1,1,1,0
Sweden,2020-04-10,9685,466,10.2,0,0,1,1,0,0,0
United States,2020-04-10,496535,29861,327.2,1,1,1,1,1,1,1
Australia,2020-04-11,6303,12,25,0,1,1,1,1,0,0
Austria,2020-04-11,13806,139,8.8,1,1,1,1,1,1,0
Belgium,2020-04-11,28018,1629,11.4,1,1,1,1,1,1,0
Canada,2020-04-11,23316,982,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-11,25107,308,8.5,1,1,1,1,1,0,0
Germany,2020-04-11,124908,2946,82.9,1,0,1,1,1,0,0
Denmark,2020-04-11,6191,178,5.8,1,1,1,1,1,0,0
Spain,2020-04-11,163027,3804,46.7,1,1,1,1,1,1,1
Finland,2020-04-11,2905,69,5.5,1,1,1,1,1,0,0
France,2020-04-11,94863,26849,67,1,1,1,1,1,1,1
United Kingdom,2020-04-11,79874,5332,66.5,1,0,1,1,1,1,0
Greece,2020-04-11,2081,33,10.7,1,0,1,1,1,1,0
Ireland,2020-04-11,8928,727,4.9,1,0,1,1,1,1,1
Italy,2020-04-11,152271,4092,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-11,3270,11,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-11,24571,1175,17.2,1,0,1,1,1,0,0
Norway,2020-04-11,6409,116,5.3,1,1,1,0,1,0,0
Portugal,2020-04-11,15987,598,10.3,1,0,1,1,1,1,0
Sweden,2020-04-11,10151,332,10.2,0,0,1,1,0,0,0
United States,2020-04-11,526396,28917,327.2,1,1,1,1,1,1,1
Australia,2020-04-12,6315,36,25,0,1,1,1,1,0,0
Austria,2020-04-12,13945,96,8.8,1,1,1,1,1,1,0
Belgium,2020-04-12,29647,942,11.4,1,1,1,1,1,1,0
Canada,2020-04-12,24298,1381,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-12,25415,273,8.5,1,1,1,1,1,0,0
Germany,2020-04-12,127854,2218,82.9,1,0,1,1,1,0,0
Denmark,2020-04-12,6369,144,5.8,1,1,1,1,1,0,0
Spain,2020-04-12,166831,3268,46.7,1,1,1,1,1,1,1
Finland,2020-04-12,2974,90,5.5,1,1,1,1,1,0,0
France,2020-04-12,121712,3682,67,1,1,1,1,1,1,1
United Kingdom,2020-04-12,85206,4364,66.5,1,0,1,1,1,1,0
Greece,2020-04-12,2114,31,10.7,1,0,1,1,1,1,0
Ireland,2020-04-12,9655,992,4.9,1,0,1,1,1,1,1
Italy,2020-04-12,156363,3153,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-12,3281,11,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-12,25746,964,17.2,1,0,1,1,1,0,0
Norway,2020-04-12,6525,78,5.3,1,1,1,0,1,0,0
Portugal,2020-04-12,16585,349,10.3,1,0,1,1,1,1,0
Sweden,2020-04-12,10483,465,10.2,0,0,1,1,0,0,0
United States,2020-04-12,555313,25306,327.2,1,1,1,1,1,1,1
Australia,2020-04-13,6351,64,25,0,1,1,1,1,0,0
Austria,2020-04-13,14041,185,8.8,1,1,1,1,1,1,0
Belgium,2020-04-13,30589,530,11.4,1,1,1,1,1,1,0
Canada,2020-04-13,25679,1355,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-13,25688,248,8.5,1,1,1,1,1,0,0
Germany,2020-04-13,130072,1287,82.9,1,0,1,1,1,0,0
Denmark,2020-04-13,6513,193,5.8,1,1,1,1,1,0,0
Spain,2020-04-13,170099,2442,46.7,1,1,1,1,1,1,1
Finland,2020-04-13,3064,97,5.5,1,1,1,1,1,0,0
France,2020-04-13,125394,5967,67,1,1,1,1,1,1,1
United Kingdom,2020-04-13,89570,5275,66.5,1,0,1,1,1,1,0
Greece,2020-04-13,2145,25,10.7,1,0,1,1,1,1,0
Ireland,2020-04-13,10647,832,4.9,1,0,1,1,1,1,1
Italy,2020-04-13,159516,2972,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-13,3292,15,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-13,26710,870,17.2,1,0,1,1,1,0,0
Norway,2020-04-13,6603,20,5.3,1,1,1,0,1,0,0
Portugal,2020-04-13,16934,514,10.3,1,0,1,1,1,1,0
Sweden,2020-04-13,10948,497,10.2,0,0,1,1,0,0,0
United States,2020-04-13,580619,27051,327.2,1,1,1,1,1,1,1
Australia,2020-04-14,6415,25,25,0,1,1,1,1,0,0
Austria,2020-04-14,14226,110,8.8,1,1,1,1,1,1,0
Belgium,2020-04-14,31119,2454,11.4,1,1,1,1,1,1,0
Canada,2020-04-14,27034,1174,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-14,25936,400,8.5,1,1,1,1,1,0,0
Germany,2020-04-14,131359,3394,82.9,1,0,1,1,1,0,0
Denmark,2020-04-14,6706,170,5.8,1,1,1,1,1,0,0
Spain,2020-04-14,172541,5103,46.7,1,1,1,1,1,1,1
Finland,2020-04-14,3161,76,5.5,1,1,1,1,1,0,0
France,2020-04-14,131361,3221,67,1,1,1,1,1,1,1
United Kingdom,2020-04-14,94845,4638,66.5,1,0,1,1,1,1,0
Greece,2020-04-14,2170,22,10.7,1,0,1,1,1,1,0
Ireland,2020-04-14,11479,1068,4.9,1,0,1,1,1,1,1
Italy,2020-04-14,162488,2667,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-14,3307,66,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-14,27580,736,17.2,1,0,1,1,1,0,0
Norway,2020-04-14,6623,117,5.3,1,1,1,0,1,0,0
Portugal,2020-04-14,17448,643,10.3,1,0,1,1,1,1,0
Sweden,2020-04-14,11445,482,10.2,0,0,1,1,0,0,0
United States,2020-04-14,607670,28680,327.2,1,1,1,1,1,1,1
Australia,2020-04-15,6440,22,25,0,1,1,1,1,0,0
Austria,2020-04-15,14336,140,8.8,1,1,1,1,1,1,0
Belgium,2020-04-15,33573,1236,11.4,1,1,1,1,1,1,0
Canada,2020-04-15,28208,2600,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-15,26336,396,8.5,1,1,1,1,1,0,0
Germany,2020-04-15,134753,2945,82.9,1,0,1,1,1,0,0
Denmark,2020-04-15,6876,198,5.8,1,1,1,1,1,0,0
Spain,2020-04-15,177644,7304,46.7,1,1,1,1,1,1,1
Finland,2020-04-15,3237,132,5.5,1,1,1,1,1,0,0
France,2020-04-15,134582,12509,67,1,1,1,1,1,1,1
United Kingdom,2020-04-15,99483,4662,66.5,1,0,1,1,1,1,0
Greece,2020-04-15,2192,15,10.7,1,0,1,1,1,1,0
Ireland,2020-04-15,12547,724,4.9,1,0,1,1,1,1,1
Italy,2020-04-15,165155,3786,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-15,3373,71,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-15,28316,1067,17.2,1,0,1,1,1,0,0
Norway,2020-04-15,6740,156,5.3,1,1,1,0,1,0,0
Portugal,2020-04-15,18091,750,10.3,1,0,1,1,1,1,0
Sweden,2020-04-15,11927,613,10.2,0,0,1,1,0,0,0
United States,2020-04-15,636350,31451,327.2,1,1,1,1,1,1,1
Australia,2020-04-16,6462,NA,25,0,1,1,1,1,0,0
Austria,2020-04-16,14476,NA,8.8,1,1,1,1,1,1,0
Belgium,2020-04-16,34809,NA,11.4,1,1,1,1,1,1,0
Canada,2020-04-16,30808,NA,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-16,26732,NA,8.5,1,1,1,1,1,0,0
Germany,2020-04-16,137698,NA,82.9,1,0,1,1,1,0,0
Denmark,2020-04-16,7074,NA,5.8,1,1,1,1,1,0,0
Spain,2020-04-16,184948,NA,46.7,1,1,1,1,1,1,1
Finland,2020-04-16,3369,NA,5.5,1,1,1,1,1,0,0
France,2020-04-16,147091,NA,67,1,1,1,1,1,1,1
United Kingdom,2020-04-16,104145,NA,66.5,1,0,1,1,1,1,0
Greece,2020-04-16,2207,NA,10.7,1,0,1,1,1,1,0
Ireland,2020-04-16,13271,NA,4.9,1,0,1,1,1,1,1
Italy,2020-04-16,168941,NA,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-16,3444,NA,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-16,29383,NA,17.2,1,0,1,1,1,0,0
Norway,2020-04-16,6896,NA,5.3,1,1,1,0,1,0,0
Portugal,2020-04-16,18841,NA,10.3,1,0,1,1,1,1,0
Sweden,2020-04-16,12540,NA,10.2,0,0,1,1,0,0,0
United States,2020-04-16,667801,NA,327.2,1,1,1,1,1,1,1
Australia,2020-04-17,NA,NA,25,0,1,1,1,1,0,0
Austria,2020-04-17,NA,NA,8.8,1,1,1,1,1,1,0
Belgium,2020-04-17,NA,NA,11.4,1,1,1,1,1,1,0
Canada,2020-04-17,NA,NA,37.1,1,1,1,1,1,0,0
Switzerland,2020-04-17,NA,NA,8.5,1,1,1,1,1,0,0
Germany,2020-04-17,NA,NA,82.9,1,0,1,1,1,0,0
Denmark,2020-04-17,NA,NA,5.8,1,1,1,1,1,0,0
Spain,2020-04-17,NA,NA,46.7,1,1,1,1,1,1,1
Finland,2020-04-17,NA,NA,5.5,1,1,1,1,1,0,0
France,2020-04-17,NA,NA,67,1,1,1,1,1,1,1
United Kingdom,2020-04-17,NA,NA,66.5,1,0,1,1,1,1,0
Greece,2020-04-17,NA,NA,10.7,1,0,1,1,1,1,0
Ireland,2020-04-17,NA,NA,4.9,1,0,1,1,1,1,1
Italy,2020-04-17,NA,NA,60.4,1,1,1,1,1,1,1
Luxembourg,2020-04-17,NA,NA,0.6,1,0,1,1,1,1,1
Netherlands,2020-04-17,NA,NA,17.2,1,0,1,1,1,0,0
Norway,2020-04-17,NA,NA,5.3,1,1,1,0,1,0,0
Portugal,2020-04-17,NA,NA,10.3,1,0,1,1,1,1,0
Sweden,2020-04-17,NA,NA,10.2,0,0,1,1,0,0,0
United States,2020-04-17,NA,NA,327.2,1,1,1,1,1,1,1
